Municipio,Ente,Ouvidor,Telefone,Whatsapp,E-mail,Site,Endereço,Horario de funcionamento
APUIARES,Prefeitura,Carlos Cesar dos Santos Mesquita,(85) 99263-8824,,gabinete@apuiares.ce.gov.br,https://www.apuiares.ce.gov.br/ouvidoria,"João Honório de Freitas, s/n - Centro - 62.630-000 - Apuiarés/CE",Segunda à Sexta das 08h às 12h I 14h às 17h
AQUIRAZ,Prefeitura,Gabrielle Freitas Marques,(85) 4062-8090 RAM 9188,,ouvidoria@aquiraz.ce.gov.br,https://eouve.com.br/#/ouvidoria,"Rua da Integração, s/n - Centro - Aquiraz/CE",8h-12h / 13h-17h
ARACATI,Prefeitura,Michelle dos Santos Freires,156,,ouvidoriageral@aracati.ce.gov.br,https://aracati.ce.gov.br/ouvidoria,"Prédio anexo à SEFIN - Rua Santos Dumont, 1146 - Farias Brito - Aracati/CE",07:30H ÀS 17:30H Segunda a Quinta-Feira. 08H ÀS 14HS Sexta-feira.
ARACOIABA,Prefeitura,Odelidia Figueiredo de Brito,(85) 99775-9145,,ouvidoriaaracoiaba@gmail.com,https://aracoiaba.ce.gov.br/ouvidoria,"Casa do Cidadao, Av. Santos Dumont, s/n - Centro - Aracoiaba/CE",DE SEGUNDA A SEXTA AS 07:30 HS À 17:00H
ARARENDÁ,Prefeitura,,88 9 9249-9539,,ouvidoria@ararenda.ce.gov.br,https://www.ararenda.ce.gov.br/ouvidoria/246e36c1-fc2b-4979-ab96-ab2b63f812d9/,"Rua Henrique Soares, 477, Centro - Ararendá/CE",Segunda a Sexta das 07:00 às 13:30
ARARIPE,Prefeitura,João Batista da Silva Neto,(88) 98116-1480,,ouvidoria@araripe.ce.gov.br,https://araripe.ce.gov.br/ouvidoria-municipal/,"Prefeitura Municipal | Avenida José Loiola de Alencar, s/n - Araripe/CE",8h-14h
ARATUBA,Prefeitura,,(85) 3329-1444,,pmagabinete02@gmail.com,https://www.aratuba.ce.gov.br/ouvidoria,"Rua Júlio Pereira, 304 - Centro - CEP: 62.762-000 - Aratuba/CE",De Segunda a Sexta -das 07:30 as 11:30h e 13:00 as 17:00h
ARNEIROZ,Prefeitura,,(88) 3419-1020,,ouvidoria@arneiroz.ce.gov.br,https://www.arneiroz.ce.gov.br/home-ouvidoria/,"Praça Joaquim Felipe, 15, Centro - Arneiroz/CE",
ASSARÉ,Prefeitura,,(88) 99656-1118,,ouvidoriamunassare@gmail.com,https://assare.ce.gov.br/ouvidoria,"Rua Doutor Paiva, 415 - Centro - Assaré\CE",
AURORA,Prefeitura,Cintia Gregorio dos Santos,(85) 99684-1509,,ouvidoria@aurora.ce.gov.br,https://aurora.ce.gov.br/ouvidoria,"Av. Antônio Ricardo, Nº 43 - Centro - CEP: 63.360-000 – Aurora/CE",De Segunda à Sexta das 08:00hs às 12:00hs e 13:00hs às 17:00hs
BAIXIO,Prefeitura,,,,ouvidoria@baixio.ce.gov.br,https://www.baixio.ce.gov.br/ouvidoria-sic/,"Praça dos Três Poderes, Centro Adm. Cícero Henrique Brasileiro, S/N - Centro - CEP:63320-000",
 BANABUIU,Prefeitura,Francisco Ferreira do N. N.,(88) 9.9903-1442,,ouvidoria@banabuiu.ce.gov.br,https://esic.banabuiu.ce.gov.br/ouvidoria,"RUA JOAQUIM NOBRE DE OLIVEIRA, Nº 171",
BARBALHA,Prefeitura,PRISCILA JACINTO LEITE FERNANDES TAVORA,(88) 9.9455-1031,(88) 9 9455-1031,ouvidoria@barbalha.ce.gov.br,https://barbalha.ce.gov.br/ouvidoria,"Av. Domingos Sampaio Miranda, nº 715, Buriti, CEP: 63.092-394, Barbalha/CE",08:00 às 12:00 e das 13:00 às 17:00
BARREIRA,Prefeitura,José Hédio Rodrigues Torres Filho,(85) 99438-2293,,ouvidoriageralbarreira@gmail.com,https://www.barreira.ce.gov.br/ouvidoria,"Rua Lúcio Tôrres, s/n - Centro - Barreira/CE",De segunda a sexta das 08:00 hs às 16:00 hs
BARRO,Prefeitura,Jader Fernandes de Melo,(88) 99632-0398,,controladoria@barro.ce.gov.br,https://www.barro.ce.gov.br/ouvidoria,"Rua Firmino Tavares, 246, Centro - Barro/CE",De Segunda a Sexta Feira das 07:00h as 13:00h
BARROQUINHA,Prefeitura,,(88)3623-1137,,ouvidoria@barroquinha.ce.gov.br,https://www.gdic.com.br/modulo/ouvidoria/login/1183490,"Rua 11de maio, 739,centro,Barroquinha, CE",Segunda a Sexta das 8 as 12 e de 14 as 18hs
BATURITÉ,Prefeitura,EMMANUEL JEFFERSON KENNEDY CASTELO BRANCO MOREIRA,(85) 9 91948477,,ouvidoria@baturite.ce.gov.br,https://www.baturite.ce.gov.br/ouvidoria,"Prefeitura de Baturité, Praça da Matriz, s/n - Palácio Entre Rios",Segunda a Sexta de 08:00h às 17:30h
BEBERIBE,Prefeitura,DANIEL BEZERRA FERNANDES VIDAL,(85)99794.5040,,ouvidoria@beberibe.ce.gov.br,https://www.beberibe.ce.gov.br/ouvidoria,"Rua J J Dourado, 349 - Centro Administrastivo - AP 01 - Beberibe/CE",Segunda-feira a Sexta-feira das 7:30h às 12:00h das 13:00h às 16:30h
BELA CRUZ,Prefeitura,Raimundo Ivan Moreira,(88) 9.9615-6583,,ouvidoria@belacruz.ce.gov.br,https://www.belacruz.ce.gov.br/ouvidoria,"RUA 7 DE SETEMBRO, Nº 34 CENTRO, CEP: 62570-000",Segunda à Sexta-Feira - 8h às 12h
BOA VIAGEM,Prefeitura,Maria Cristiane Andre de Sales,(88) 3427 7001,,ouvidoria@boaviagem.ce.gov.br,https://www.boaviagem.ce.gov.br/ouvidoria,PREFEITURA MUNICIPAL DE BOA VIAGEM,8:00 às 12:00h e 14:00 às 18:00h
BREJO SANTO,Prefeitura,Marcos Antonio Nogueira,"(88) 3531-1042  Ramal 215
",88 98162-4323,ouvidoria@brejosanto.ce.gov.br,https://esic.duosoftware.com.br/esicduo-pmbrejo/ouvidoria.xhtml,"Rua Manoel Inácio Bezerra, 192 - Centro - Brejo Santo/CE",Segunda à Sexta das 07:00 hs às 13:00 hs
CAMOCIM,Prefeitura,,(88) 3621-2123 / 3621-0024,,ouvidoria@camocim.ce.gov.br,https://www.participar.com.br/camocim/users/sign_in,,"8h às 14h, de segunda a sexta."
CAMPOS SALES,Prefeitura,,(88) 3533-1801,,ouvidoria@camposales.ce.gov.br,https://www.campossales.ce.gov.br/ouvidoria,Secretária de Administração e Finanças,De segunda a sexta as 08:00 hs à 12:00
CANINDÉ,Prefeitura,Claudia Silvestre,,,claudiasilvestreouvidoria@gmail.com,https://www.caninde.ce.gov.br/ouvidoria,Largo Xavier de Medeiros s/n Bairro - Imaculada Conceição,Segunda a Sexta - 7:30 às 13:30
CAPISTRANO,Prefeitura,Raimundo Araujo Sousa,"85 992043747
",,ouvidoria@capistrano.ce.gov.br,https://www.capistrano.ce.gov.br/ouvidoria,"Praça: Major José Estelita de Aguiar, S/N - Centro - CEP: 62.748-000 - Capistrano/Ceará",De Segunda á Sexta Das 08:00hs às 13:00hs
CARIDADE,Prefeitura,,(85) 3324-1111,,,https://www.caridade.ce.gov.br/ouvidoria,"Av: Coronel Francisco Linhares, Nº 250 - Centro - CEP: 63.730-000 - Caridade/CE",De Segunda à Sexta das 08:00hs às 15:00hs
CARIRÉ,Prefeitura,Maria Cesar Martins Silva,(88) 36461133,,ouvidoria@carire.ce.gov.br,https://www.carire.ce.gov.br/ouvidoria,"Praca Elísio Aguiar, 141 - Centro - CEP: 62.184-000 - Cariré\CE",De segunda a sexta de 08:00 hs às17:00 hs
CARIRIAÇU,Prefeitura,,(88) 3547-1122,,prefeituramcaririacu@hotmail.com,https://www.caririacu.ce.gov.br/ouvidoria,"Parque Recreio, S/N - Paraiso - CEP: 63.220-000 - Caririaçu/CE",De Segunda à Sexta das 08:00hs às 14:00hs
CARIÚS,Prefeitura,,(88)9990-33364,,ouvidoriacarius@gmail.com,https://www.gdic.com.br/modulo/ouvidoria/login/1205489,"Rua Raul Nogueira, s/n, Centro - Cariús/CE",7:30 às 11:30 de 13:00 ás 17:00 HORAS
CARNAUBAL,Prefeitura,JOÃO PAULO MARQUES BRITO,,,,https://www.carnaubal.ce.gov.br/ouvidoria,,
CASCAVEL,Prefeitura,Patricia Virgina da Costa,(85) 3334-2840,,ouvidoria@cascavel.ce.gov.br,https://www.cascavel.ce.gov.br/ouvidoria,AV CHANCELER EDSON QUEIROZ Nº 2050,De Segunda á Sexta 7:30 às 12:00 e 13:30 às 17:00
CATARINA,Prefeitura,Raimundo Graciliano Chaves de Almeida,(88) 3556-1167,,ouvidoria.pmcatarina@gmail.com,https://www.catarina.ce.gov.br/ouvidoria,Rua José Rodrigues Pereira Neto - 280 - Três Poderes - CEP: 63.595-000 - Catarina/CE,De Segunda a Sexta - de 13:00h às 17:00h
CATUNDA,Prefeitura,,,,,https://catunda.ce.gov.br/ouvidoria/948e72df-a933-4630-8b2e-c3a427bf8184/,,
CAUCAIA,Prefeitura,,,,,https://ouvidoria.caucaia.ce.gov.br/login,,
CEDRO,Prefeitura,PRICILA RIBEIRO FERREIRA MOREIRA,(88) 9.9691-6575,,ouvidoria@cedro.ce.gov.br,https://www.cedro.ce.gov.br/ouvidoria,"Sala da Ouvidoria - Rua Cel. Luiz Felipe, 299",De segunda a sexta das 07:00 hs às 11:00hs e dás12:00hs ás 16:00 hs
CHAVAL,Prefeitura,,(88) 3625-1330,,ouvidoria@chaval.ce.gov.br,https://www.gdic.com.br/modulo/ouvidoria/login/1218489,"Rua Ten. Manoel Olímpio, 1060,Centro,Chaval, CE",08:00 às 13:00hs
CHORÓ,Prefeitura,MARIA LUCIANA BERNARDINO ALVES,,,ouvidoria@choro.ce.gov.br,https://www.choro.ce.gov.br/ouvidoria,"Rua Cel. João Paracampos, 1410 - Alto do Cruzeiro - CEP: 63950-000 - CHORO\CE",Segunda a Quinta - 08:00 a 12:00h 14:00h a 17:00 Sexta - 08h às 13:00
CHOROZINHO,Prefeitura,,,,ouvidoria@chorozinho.ce.gov.br,https://www.chorozinho.ce.gov.br/link?link=https:%2F%2Fwww.gdic.com.br%2Fmodulo%2Fouvidoria%2Flogin%2F1222487?clean=true,"Av. Raimundo Simplício, s/n, Centro - Chorozinho/CE",Seg. à Sex. das 08:00h às 17:00h
COREAÚ,Prefeitura,DOMINGOS TELES CAVALCANTE FILHO,(88)3645-1344,,ouvidoriapalmacoreau@hotmail.com,https://coreau.ce.gov.br/ouvidoria.php,Prefeitura Municipal de Coreaú,Segunda à Sexta das 08:00 as 12:00 e das 14:00 às 17:00
CRATEÚS,Prefeitura,Francisco Elvys da Silva Rodrigues,,,ouvidoria@crateus.ce.gov.br,https://www.crateus.ce.gov.br/ouvidoria,"Galeria Gentil Cardoso, 20, 2º andar, Centro - Crateús/CE",DE SEGUNDA Á SEXTA 7:30 ÀS 13:30
CRATO,Prefeitura,MARIA AGUEDA BRITO LEITE DUARTE,(88)3521-7082,,ouvidoria@crato.ce.gov.br,https://ouvidoria.crato.ce.gov.br/,"Rua José Carvalho, 348 - Centro",DE SEGUNDA A SEXTA DAS 08:00 HS ÀS 17:00 HS
CROATÁ,Prefeitura,,(88) 3659-1164,,ouvidoria@croata.ce.gov.br,https://croata.ce.gov.br/ouvidoria.php,,
CRUZ,Prefeitura,,88 99259-3006,,ouvidoria@cruz.ce.gov.br,https://prefeitura.cruz.ce.gov.br/transparencia-municipal/ouvidoria/,"Praça dos 03 Poderes, SN Aningas - Cruz/CE",
DEPUTADO IRAPUAN PINHEIRO,Prefeitura,Josefa de Oliveira,(88) 9.81258271,,ouvidoriacontroladoria@gmail.com,https://www.irapuanpinheiro.ce.gov.br/ouvidoria,Avenida dos Três Poderes - Nº 75 - Centro - Dep. Irapuan Pinheiro-CE - CEP: 63.645-000,De Segunda à Sexta das 7:30 às 11:30 e 13:00 ás 17:00
ERERÉ,Prefeitura,,,,,https://www.erere.ce.gov.br/ouvidoria,,
EUSÉBIO,Prefeitura,JOCASTA CUNHA VIEIRA,(85) 3360-0050,,ouvidoria@eusebio.ce.gov.br,https://eusebio.ce.gov.br/ouvidoria,"AV. CEL. CÍCERO DE SÁ, Nº 100 - CENTRO - CEP: 61.760-435","De Segunda à Sexta-feira, das 08:00 às 16:00."
FARIAS BRITO,Prefeitura,,"(88) 3544-1223
(88) 3544-1193",,,https://www.fariasbrito.ce.gov.br/ouvidoria/,"ua José Alves Pimentel, nº 87, Bairro: Centro, Farias Brito/Ceará.",.
FORQUILHA,Prefeitura,Jorge Urculino Martins,(88) 9.9450-0748,,ouvidoria@forquilha.ce.gov.br,https://www.forquilha.ce.gov.br/ouvidoria,Ouvidoria Geral do Município - Prefeitura Municipal de Forquilha,De Segunda a Sexta - Das 07:00h às 13:00h
FORTALEZA,Secretaria Municipal de Educação,Cláudia Patrícia,(85) 3459-6767,,ouvidoria@educacao.fortaleza.ce.gov.br,ouvidoria.cgm.fortaleza.ce.gov.br,"Av. Desembargador Moreira, 2875","De segunda a sexta-feira, de 8 às 12 horas e de 13 às 17 horas"
FORTALEZA,Prefeitura,Elda Gomes de Pinho,(85) 3488-2684,,,,"Rua Ildefonso Albano, 2050","De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,"Fundação de Ciência, Tecnologia e Inovação",Maria Izabel Cidrão,,,,,"Rua Padre Valdevino, 1040","De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,Instituto de Previdência do Município,Mirelle Clemente Mota,(85) 3513-7969,,ouvidoria@ipmfor.ce.gov.br,impfor.ce.gov.br,"Av. da Universidade, 1940","De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,Procuradoria Geral do Município,Natália Bezerra,(85) 2018-0211,,ouvidoria@pgm.fortaleza.ce.gov.br,ouvidoria.cgm.fortaleza.ce.gov.br,"Rua Israel Bezerra, 570 - 5º Andar","De segunda a sexta-feira, de 8 às 12 horas e de 13 às 17 horas"
FORTALEZA,Secretaria Municipal dos Direitos Humanos e Desenvolvimento Social,Raquel Almeida,(85) 9184-4766,,ouvidoria.sdhds@sdhds.fortaleza.ce.gov.br,ouvidoria.cgm.fortaleza.ce.gov.br,Rua Padre Pedro de Alencar,"De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,Secretaria Municipal de Conservação e Serviços Públicos,Ronaldo,,,ouvidoria.scsp@fortaleza.ce.gov.br,,"Av. Pontes Vieira, 2391","De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,Secretaria Executiva Regional V,Josylane de Moura Araújo,156,(85) 98814-4478,ouvidoriageral.cgm@cgm.fortaleza.ce.gov.br,ouvidoria.cgm.fortaleza.ce.gov.br,"Rua Israel Bezerra, 570 - 3º Andar","De segunda a sexta-feira, de 7 às 19 horas"
FORTALEZA,Secretaria Executiva Regional IV,Ana Fabíola Cavalcante Bezerra,156,,ouvidoriageral.cgm@cgm.fortaleza.ce.gov.br,,"Rua Israel Bezerra, 570 - 3º Andar","De segunda a sexta-feira, de 7 às 19 horas"
FORTALEZA,Secretaria Executiva Regional X,Manoela Sousa Garcez Torres,(85) 99955-4444,,manoela.garcez@sr10.fortaleza.ce.gov.br,ouvidoria.cgm.fortaleza.ce.gov.br,"Rua Francisco Glicério, 290 - 1º Andar","De segunda a sexta-feira, de 8 às 12 horas e de 13 às 16 horas"
FORTALEZA,Secretaria de Segurança Cidadã,Samuel Souza Holanda Maurício,(85) 98400-9051,,ouvidoria@sesec.fortaleza.ce.gov.br,,"Av. Jovita Feitosa, 1264 - Parquelândia","De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,Autarquia de Urbanismo e Paisagismo (Urbfor),Raquel / Carlos,(85) 99154-3062,,ouvidoria@urbfor.fortaleza.ce.gov.br,,"Av. dos Paroaras, 100 - Passaré","De segunda a sexta-feira, de 8 às 17 horas"
FORTALEZA,Câmara,Jardelson Ramos,(85) 3444-8307,,ouvidoria@cmfor.ce.gov.br,www.cmfor.ce.gov.br,"Rua Tompson Bulcão, 830","De segunda a sexta-feira, de 8 às 17 horas"
FORTIM,Prefeitura,Cintia Rodrigues da Silva,(88) 3413-1053,,ouvidoria@fortim.ce.gov.br,https://www.fortim.ce.gov.br/ouvidoria,"Vila da Paz, 40, Bloco D - Fortim/CE",De Segunda a Sexta das 08:00 hs às 14:00 hrs
FRECHEIRINHA,Prefeitura,,88. 36551200,,ouvidoria@frecheirinha.ce.gov.br,https://www.frecheirinha.ce.gov.br/ouvidoria,Centro Administrativo de Frecheirinha,De Segunda a Sexta das 08h00 às 17h00
GENERAL SAMPAIO,Prefeitura,FRANCISCA LUCIA BEZERRA UCHOA BARBOSA,(85) 3357-1088,(85) 9 8818-9684,ouvidoria@generalsampaio.ce.gov.br,https://www.generalsampaio.ce.gov.br/ouvidoria,"Av. José Severino Filho, 257 - Sagrado Coração de Jesus - General Sampaio/CE",SEGUNDA A SEXTA DAS 08:00 HS ÀS 17:00HS
GRAÇA,Prefeitura,,(88) 3656-1255,,ouvidoria@graca.ce.gov.br,https://www.graca.ce.gov.br/ouvidoria,"Av Jose Candido de Carvalho, Nº 483 - Centro - CEP: 62.365-000 - Graça/CE",SEGUNDA A SEXTA - DAS 07:30 AS 11:30
GRANJA,Prefeitura,David Pereira Rocha,(88) 3624-1155 -Ram 213,(88) 9 8838-8376,ouvidoriagranja@hotmail.com,https://www.granja.ce.gov.br/ouvidoria,"Praça da Matriz, S/N",De segunda a sexta as 08:00 hs à 17:00 hs
GRANJEIRO,Prefeitura,Railla Naiane de Alencar Menezes,,,ouvidoria@granjeiro.ce.gov.br,https://www.granjeiro.ce.gov.br/ouvidoria,"Rua David Granjeiro, 104 - Centro - Granjeiro/CE",8:00 AS 14:00
GROAIRAS,Prefeitura,,,,ouvidoria@groairas.ce.gov.br,https://www.groairas.ce.gov.br/ouvidoria,"Rua Ver. Marcolino Olavo Parente, 720, Centro",De Segunda à Sexta-Feira das 08:00h às 12:00h e de 13:00h às 17:00h
GUAIUBA,Prefeitura,José Telmo Lacerda Diogenes,(85) 99265-8924,(85) 9 9265-8924,guaiuba.ouvidora@gmail.com,https://www.guaiuba.ce.gov.br/ouvidoria,"Rua Pedro Augusto, 53 - Centro - CEP: 61.890-000 - Guaiuba/CE",De Segunda a Sexta das 8:00hs as 14:00hs
GUARACIABA DO NORTE,Prefeitura,,,,,https://www.guaraciabadonorte.ce.gov.br/ouvidoria,,
GUARAMIRANGA,Prefeitura,Francisco Cesarllan de Oliveira Gomes,(85)992606846,,ouvidoria@guaramiranga.ce.gov.br,https://www.guaramiranga.ce.gov.br/ouvidoria,"Rua Joaquim Alves Nogueira, 409 - Centro",Seg. à Sex. | 08:00h às 16:00h
HIDROLÂNDIA,Prefeitura,IZABEL CRISTINA MARTINS GOMES MOURÃO,(88) 3638-1305,,controladoriaeouvidoria.hidro.ce@outlook.com,https://www.hidrolandia.ce.gov.br/ouvidoria,RUA LUIZ CAMELO SOBRINHO,DE SEGUNDA A SEXTA - DAS 7H AS 13H
HORIZONTE,Prefeitura,,85 3336.6078,85 987610270,ouvidoria@horizonte.ce.gov.br,https://www.horizonte.ce.gov.br/ouvidoria/,"Rua Antônio Agostinho da Silva, 27 - Centro - Horizonte/CE","Segunda a sexta-feira
07:30 às 12 horas e 13:30 às 17 horas"
IBARETAMA,Prefeitura,,,,ouvidoria@ibaretama.ce.gov.br,https://www.portalcr2.com.br/ouvidoria/ouvidoria-ibaretama,"Rua Padre João Scopel, nº 53 – Centro - Ibaretama",Horário comercial
IBIAPINA,Prefeitura,Myriam Matias da Silva,(88) 9.8167-7285,,ouvidoria@ibiapina.ce.gov.br,https://www.ibiapina.ce.gov.br/ouvidoria,"Rua Deputado Fernando Melo, S/N - CENTRO - CEP: 62360-000 - IBIAPINA\CE",SEGUNDA A SEXTA DAS 08:00H AS 14:00H
IBICUITINGA,Prefeitura,José Wilker Darly da Silva Goes,(88)9.9425-7091,,ouvidoria@ibicuitinga.ce.gov.br,https://www.ibicuitinga.ce.gov.br/ouvidoria,"Rua Edval Maia da Silva, 16 - Centro - Ibicuitinga/CE",DE SEGUNDA A SEXTA - DAS 08H AS 12H E 14H AS 17H
ICAPUÍ,Prefeitura,ROBERTO FERREIRA DA SILVA,(88) 9 8862-1188,(88) 9 8862-1188,ouvidoria@icapui.ce.gov.br,https://www.icapui.ce.gov.br/ouvidoria,Av. 22 de Janeiro - Secretaria de Administração e Finanças - Icapuí,7:30 às 12h e 13h às 14:30
ICÓ,Prefeitura,TAILANA PEREIRA LIMA NOGUEIRA,(88)3561-1508,,ouvidoria@ico.ce.gov.br,https://www.ico.ce.gov.br/ouvidoria,"Rua Ilidio Sampaio, 2131 - Centro - CEP: 63.430-000 - Icó\CE",DE SEGUNDA A QUINTA 07:30 HS À 11:30 E DE 13:00 AS 17:00 H. SEXTA FEIRA 07:30 HS À 13:00
IGUATU,Prefeitura,,(88)3581.6563,,ouvidoria@iguatu.ce.gov.br,https://www.iguatu.ce.gov.br/link?link=https://www.gdic.com.br/modulo/ouvidoria/login/1272486?clean=true,,seg a sex | 7:30h as 13:30h
INDEPENDÊNCIA,Prefeitura,Layanna Maria Coelho Oliveira Magalhães,(88) 3675-2213,,prefeituradeindependencia2017@outlook.com,https://www.independencia.ce.gov.br/ouvidoria,"Rua Cruzeiro, 244 - Centro - CEP: 63.640-000 - Independência/CE",De segunda á sexta Das 08h00min às 12h00min e de 14h00min às 18h00min
IPAPORANGA,Prefeitura,FRANCISCA MARIA ALVES BERNARDINO,(88) 9 9944-2403,(88) 9 9944-2403,ouvidoria@ipaporanga.ce.gov.br,https://www.ipaporanga.ce.gov.br/ouvidoria,"Rua Franklin José Vieira , 91, Centro - CEP: 62.215-000 - Ipaporanga/CE",07h às 13h
IPAUMIRIM,Prefeitura,Juciclea Gouveia Correia,(88) 3567-1525,,,https://www.ipaumirim.ce.gov.br/ouvidoria,,Segunda a Sexta Feira das 07:30h as 12:00h
IPU,Prefeitura,,(88)36832022,,ouvidoria@ipu.ce.gov.br,https://ipu.ce.gov.br/ouvidoria,Praça Abilio Martins s/n,das 08:00h as 12:00 e 14:00h as 17:00h
IPUEIRAS,Prefeitura,Caio Cesar Linhares Ferreira,,,ouvidoria@ipueiras.ce.gov.br,https://www.ipueiras.ce.gov.br/ouvidoria,"Parque da Cidade Jose Costa Matos, 01, Centro",SEGUNDA A SEXTA - DAS 08:00H AS 12:00H - DE 13:00H AS 16:00H
IRACEMA,Prefeitura,Savio Nero Medeiros Magalhães,(88) 3428-1462,,ouvidoria.iracema.ce@gmail.com,https://www.iracema.ce.gov.br/ouvidoria,Rua Delta Holanda - Nº 19 - Centro - Cep: 62.980-000 - Iracema - CE,De Segunda à Sexta Das 07:00hs às 13:00hs
IRAUÇUBA,Prefeitura,Renata Mendes Ramos,(88) 9.9617-1794,(88) 9.9617-1794,ouvidoria@iraucuba.ce.gov.br,https://www.iraucuba.ce.gov.br/ouvidoria,"Av. Paulo Bastos, 14000 - Centro - CEP: 62620-000 - Irauçuba/CE",DE SEGUNDA Á SEXTA DAS 08:00H ÀS 17:00H
ITAIÇABA,Prefeitura,MARIA MAZARELO GOMES LEGAL,(88) 3410-1112,,ouvidoria@itaicaba.ce.gov.br,https://www.itaicaba.ce.gov.br/ouvidoria,Prefeitura Municipal de Itaiçaba,"de Segunda A Quinta-feira, das 7:30h às 11:30h e das 13h às 17h | Sexta-feira, das 07:30h às 13:00h"
ITAITINGA,Prefeitura,Silvania Ferreira Cartaxo,0800 101 11 70,,ouvidoria@itaitinga.ce.gov.br,https://www.itaitinga.ce.gov.br/ouvidoria,"Rua Manoel de Sousa, 215 - Centro - Itaitinga/CE",Segunda à Sexta de 08 às 12h e 13h às 17:00
ITAPAJÉ,Prefeitura,Raiane Pereira Costa,(85) 3346-2261,,ouvidoria@itapaje.ce.gov.br,https://www.itapaje.ce.gov.br/ouvidoria,"Av. Antônio Pereira de Melo, 353 - Itapajé/CE",das 08:00 às 12:00 | 14:00 às 17:00
ITAPIPOCA,Prefeitura,Altonia Azevedo Rogério Primo,88 3631-5950,,faleconosco@itapipoca.ce.gov.br,https://www.itapipoca.ce.gov.br/ouvidoria,Av. Anastácio Braga n 195 - Centro Itapipoca/CE,DE SEGUNDA A SEXTA FEIRA DE 08:00H AS 18:00H.
ITAPIUNA,Prefeitura,Aurelio de Oliveira Souza,(88)3431-1210,,,https://www.itapiuna.ce.gov.br/ouvidoria,"Av. São Cristovão, 15 - Centro - Itapiúna/CE",DE SEGUNDA A SEXTA DAS 08:00 ÀS 17:00hs.
ITAREMA,Prefeitura,Kaline Mariele Santana Monteiro,(88) 9.8885-5179,,ouvidoria@itarema.ce.gov.br,https://www.itarema.ce.gov.br/ouvidoria,"Praça Nossa Senhora de Fátima, N° 48, Centro, Itarema-CE | CEP: 62.590-000",De segunda a sexta de 08:00 hs às 12:00 hs.
